well,bursts_mean_duration_baseline,burst_freq_baseline,INBI_baseline,cv_of_INBI_baseline,fnb_baseline,ISI_within_baseline,ISI_outside_baseline,involved_electrodes_baseline
A5,0.7360588108108066,18.5,3.2239042599277976,1.9647131548177086,0.22695146666666535,9.541680390698941,34.72010381054581,8.686486486486487
A6,1.109586472303203,11.433333333333334,5.170539883040935,2.033248653504993,0.2114378666666659,9.333734024713781,47.510546963915154,9.189504373177842
A7,0.6573180952380989,25.9,2.3056740206185564,1.7048874028808116,0.2837423111111127,9.772066236509316,31.96182165257697,6.987129987129987
A8,1.003370389610393,10.266666666666666,5.781035048859935,1.7739705781310968,0.17168782222222279,9.268819808873568,46.46656319152249,8.941558441558442
B5,3.1930894009216577,7.233333333333333,8.299698148148149,0.7950311851721853,0.38494466666666655,12.013411180795442,88.75770365618989,10.96774193548387
B6,1.5257362343096204,7.966666666666667,7.54630218487395,1.4271379553699826,0.20258386666666625,8.362839200456305,57.32425735852074,9.757322175732218
B7,1.5898922875816999,10.200000000000001,5.892005508196721,1.393501541513884,0.270281688888889,8.624388933153568,47.91107349990881,7.718954248366013
B8,1.6260261818181772,11.0,5.413795744680852,1.4678352376144925,0.29810479999999917,8.746901954381077,53.412816913319304,6.163636363636364
C5,1.2130612285012325,13.566666666666668,4.407533201970443,1.7736199601187987,0.27428662222222316,9.173267816172284,43.4048700737688,8.321867321867321
C6,1.4925240191387552,6.966666666666667,8.497629615384616,1.4953267817913987,0.17329862222222214,8.44107184306357,59.102520554474324,10.23444976076555
C7,0.869763047619046,17.5,3.41220106870229,1.9427967045498031,0.2536808888888884,9.486970062014237,39.65816077702007,7.979047619047619
C8,1.9720344041450817,6.433333333333334,9.308209583333333,1.0409550169263084,0.21144591111111152,7.500011355277546,75.02121676621383,9.823834196891191
D5,1.4308834042553178,7.833333333333334,7.646488547008547,1.4676903057259043,0.1868097777777776,8.426954466259518,61.18581389515928,9.548936170212766
D6,1.1660211382113796,8.2,7.345325387755103,1.548206735059355,0.15935622222222187,8.831219039816672,55.60988460124957,8.78048780487805
D7,1.069186098360651,10.166666666666668,5.90292894736842,1.5856483226717233,0.18116764444444364,8.925314753021903,61.087636499316005,9.573770491803279
D8,0.7301589413988704,17.633333333333333,3.4083872727272726,2.0956083234255716,0.21458560000000135,9.579373137585424,36.955451574957465,7.657844990548204
E5,1.216271128404664,8.566666666666666,6.993005937500001,1.4718490643799422,0.17365648888888813,8.660051966881415,63.498002049180386,9.252918287937744
E6,0.6818963137254911,17.0,3.533122829076621,2.0035224725158383,0.1932039555555558,9.628723654061929,40.615343308628155,8.047058823529412
E7,1.0576634482758611,12.566666666666666,4.76994744680851,1.6765654646447554,0.2215217333333331,9.266950322617088,47.237849172369636,7.73474801061008
E8,1.5054827272727298,8.8,6.824749809885931,1.386559311895171,0.2208041333333337,8.48323173366386,55.35974106966644,8.151515151515152
F5,1.7098096428571452,7.466666666666667,8.062524484304934,1.4172588903363925,0.2127763111111114,12.72932966654629,65.43473562687599,9.808035714285714
F6,1.2063706787330324,29.466666666666665,2.031309898074745,1.4419939026511617,0.5924620444444447,14.285306776273545,38.47295956364396,7.877828054298643
F7,1.0188209230769203,17.333333333333332,3.4532906358381497,1.1412233502162947,0.2943260444444436,14.282998999176138,59.105876221498434,7.376923076923077
F8,1.508616393442623,10.166666666666668,5.901226842105263,1.4448132881680804,0.25562666666666667,13.036015359682004,57.73239227852464,9.652459016393443
